fips,lgbm_mae,lgbm_rmse,lgbm_wape,actual,predicted,county_name,stateabbr,risk_tier,prophet_mae,prophet_rmse,prophet_wape,winner,wape_diff
01099,0.015684900267302182,0.015684900267302182,0.022688390619213853,0.6913183279742765,0.6756334277069743,Monroe,AL,High,0.0176787138503531,0.0176787138503531,0.0255724651509759,LightGBM,0.002884074531762048
01101,0.002344781807449847,0.002344781807449847,0.00473524118257729,0.49517684887459795,0.4975216306820478,Montgomery,AL,Moderate,0.0503492621093247,0.0503492621093247,0.1016793539999999,LightGBM,0.09694411281742261
01103,0.009616955094114865,0.009616955094114865,0.020626710581170507,0.46623794212218644,0.4566209870280716,Morgan,AL,Moderate,0.0236880581013925,0.0236880581013925,0.0508068004795385,LightGBM,0.03018008989836799
01105,0.03221946720122293,0.03221946720122293,0.03630526920137801,0.887459807073955,0.8552403398727321,Perry,AL,Critical,0.101252913607717,0.101252913607717,0.114092957,LightGBM,0.07778768779862198
01107,0.0023906135353803926,0.0023906135353803926,0.003954685156932459,0.6045016077170416,0.6021109941816613,Pickens,AL,High,0.0286395368668809,0.0286395368668809,0.0473771061999998,LightGBM,0.04342242104306734
01109,0.0059951792569402085,0.0059951792569402085,0.014342313453141579,0.41800643086816713,0.4120112516112269,Pike,AL,Moderate,0.0020402921777681,0.0020402921777681,0.00488100667143,Prophet,-0.009461306781711578
01111,0.00306650383373952,0.00306650383373952,0.00564309285380468,0.5434083601286173,0.5403418562948777,Randolph,AL,High,0.0004820219538036,0.0004820219538036,0.0008870344830351,Prophet,-0.0047560583707695805
01113,0.006652496666925689,0.006652496666925689,0.012242168422567395,0.5434083601286173,0.5367558634616916,Russell,AL,High,0.0146724115225539,0.0146724115225539,0.0270007099616229,LightGBM,0.014758541539055505
01115,0.0026996741704526372,0.0026996741704526372,0.0068819562869735255,0.39228295819935693,0.3895832840289043,St. Clair,AL,Moderate,0.0042936416472086,0.0042936416472086,0.0109452668219826,LightGBM,0.004063310535009075
01117,0.018745105856812383,0.018745105856812383,0.06477475468298502,0.2893890675241157,0.2706439616673033,Shelby,AL,Moderate,0.0172353878527874,0.0172353878527874,0.0595578402468544,Prophet,-0.005216914436130621
